userid,pointid,wasteTypeId,poids
1,1,1,5
1,1,2,10
1,3,5,7
1,8,8,2
2,2,8,3
2,3,1,7
2,5,4,4
3,1,4,12
3,5,3,8
3,9,7,6
3,11,6,3
4,4,9,4
4,6,10,6
4,12,9,9
5,2,8,9
5,7,5,2
5,10,8,5
5,14,10,11
6,3,2,11
6,9,6,5
6,16,9,8
7,11,1,14
7,12,8,3
7,15,3,7
7,1,3,4
8,13,3,8
8,14,9,6
8,2,10,13
8,6,9,5
9,15,5,10
9,16,9,7
9,11,2,3
10,11,2,4
10,13,6,9
10,4,8,6
10,7,7,11
11,12,10,12
11,14,9,5
11,3,4,8
12,15,5,11
12,16,10,10
12,1,1,7
12,9,1,4
13,11,6,14
13,13,1,15
13,5,4,9
14,12,10,12
14,16,8,15
14,8,9,5
15,13,5,13
15,2,8,8
15,6,10,6
16,14,9,9
16,3,2,14
16,10,8,5
17,15,1,10
17,1,2,7
17,12,8,3
18,16,10,11
18,5,3,15
18,11,5,4
19,13,6,8
19,7,6,12
19,2,8,6
20,14,9,10
20,4,10,9
20,9,1,7
1,15,7,5
2,16,8,11
3,13,4,4
4,11,1,13
5,12,10,8
6,14,9,6
7,3,2,10
8,5,2,5
9,8,8,9
10,2,10,7
